"sample","Biosynthesis","Degradation","Structure","metabolic_function","richness.y","neutral.y","phylo.y","mapped.y","total.y","metabolic_capacity","richness","neutral","phylo","mapped","total","sampleID","captureID","specimen","animal","sample_type","species","order","development","sampling_areaEHI","sampling_date","country","geographic_location","latitude","longitude","n_extractions","n_libraries","n_indexed_libraries","n_sequenced_datasets","host_data","metagenomic_data","n_MAGs","sex","bm","repro","sampling_site","area_type","macroarea","metapop","index200","index500","x","y","month","year","season","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C"
"EHI01460",0.369961754793165,0.176562581395061,0.31861573058298,0.273262168094113,1649,74.367,5.96,6.191,8.948,0.652729579715886,1649,74.367,5.96,6.191,8.948,"ACH07","SD0040202","SD00402","5719","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Golasecca",2021-05-31,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"1.191","7.333",337,"F",305,"pregnant","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,5,2021,"spring-summer","0.7905",57366102,7891163,"0.0383718551055632",7333306758,1190588792,"0.0474260839010878",183063598271398,"0.93170171890897"
"EHI01461",0.38938323054198,0.201421275121409,0.362598494639812,0.295402252831695,1488,45.45,4.811,1.055,5.208,0.711670670543326,1488,45.45,4.811,1.055,5.208,"AAA86","SD0029801","SD00298","4386","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2020-10-27,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"3.719","1.338",295,"M",310,"nonbreeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,10,2020,"autumn","0.6917",34087750,24879732,"0.0181562355082795",1338362043,3718641261,"0.0289400813984636",175461986373375,"0.893336410616511"
"EHI01462",0.351959983467594,0.169769170905531,0.314436742088233,0.260864577186562,1633,89.7,6.289,5.208,6.296,0.626541401735869,1633,89.7,6.289,5.208,6.296,"ACH19","SD0029804","SD00298","4386","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-06-01,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"0.07","5.978",337,"M",265,"breeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,6,2021,"spring-summer","0.8182",40827790,498888,"0.0273593862660476",5978499274,70055758,"0.0393683193844084",182711411026699,"0.943914687016838"
"EHI01463",0.361917171686206,0.177258756126606,0.363783198703916,0.269587963906406,1667,248.593,9.965,4.865,6.773,0.66043699404745,1667,248.593,9.965,4.865,6.773,"AAV34","SD0035903","SD00359","5638","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2020-12-11,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.374","6.144",576,"F",550,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,12,2020,"winter","0.7415",43996750,2520017,"0.0256022864956839",6143774948,373828587,"0.0376958931388268",195237903157582,"0.841521327290311"
"EHI01464",0.348564803023312,0.173966522699496,0.363617501979872,0.261265662861404,1656,248.279,7.866,7.97,10.322,0.643737159716098,1656,248.279,7.866,7.97,10.322,"ABA79","SD0043603","SD00436","5933","Faecal","Sciurus carolinensis","Rodentia","Nursing","AddaNord",2021-03-30,"Italy","Lombardy, AddaNord",4556,953,1,1,1,1,"0.115","9.767",503,"F",560,"lactating","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,3,2021,"spring-summer","0.7494",66491144,770291,"0.0337413348114264",9766932496,114736867,"0.0426545978787589",191719058958241,"0.919823801290172"
"EHI01465",0.351130292672974,0.166288842725724,0.357378648406346,0.258709567699349,1657,230.61,7.199,4.196,5.443,0.636545351534146,1657,230.61,7.199,4.196,5.443,"AAV06","SD0034303","SD00343","5607","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2020-12-10,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.18","5.082",557,"F",500,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,12,2020,"winter","0.728",35418064,1210793,"0.0239389440712899",5082289912,179509669,"0.0332922290508587",191150755546911,"0.857691015819323"
"EHI01467",0.364341014093563,0.169735106118708,0.378235048369761,0.267038060106136,1673,227.054,8.411,18.968,24.578,0.660154469668858,1673,227.054,8.411,18.968,24.578,"AAV18","SD0034402","SD00344","5608","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2020-12-10,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.582","23.239",655,"F",630,NA,"Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,12,2020,"winter","0.7615",160412922,3885521,"0.0210090523247307",23238747946,581850934,"0.0308282574341212",192980266421077,"0.950621810560096"
"EHI01468",0.344936488705309,0.172800553347628,0.347109108727184,0.258868521026468,1637,271.721,8.293,1.39,1.914,0.633440078295331,1637,271.721,8.293,1.39,1.914,"ABB40","SD0035904","SD00359","5638","Faecal","Sciurus carolinensis","Rodentia","Pregnant","Piobesi",2021-03-24,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.151","1.697",536,"F",590,"pregnant","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.6768",12453422,1018097,"0.0240428569614898",1696946557,151042974,"0.0345044207983763",191910386146249,"0.740000121680607"
"EHI01469",0.337495964694354,0.169527447711332,0.359796502620395,0.253511706202843,1648,255.455,6.698,3.789,4.907,0.626955579945817,1648,255.455,6.698,3.789,4.907,"AAU79","SD0043602","SD00436","5933","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2021-01-12,"Italy","Lombardy, AddaNord",4556,952,1,1,1,1,"0.08","4.621",465,"F",520,"nonbreeding","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,1,2021,"winter","0.7176",31713516,529931,"0.0306131500552682",4621358927,79638123,"0.0420310124976415",190841016510394,"0.852904381198642"
"EHI01470",0.238168715437838,0.111363115720598,0.267156069107064,0.174765915579218,1616,41.713,4.284,6.025,7.55,0.438583854194123,1616,41.713,4.284,6.025,7.55,"ADV61","SD0171202","SD01712","5743","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-11-04,"Italy","Lombardy, Varese",458,885,1,1,1,1,"0.099","7.208",146,"M",285,"nonbreeding","ASL","urban","VAS","VA","0.59","0.651",8848748,45799523,11,2021,"autumn","0.7497",49076128,660993,"0.0249591604863842",7208121896,99234229,"0.0321199680158193",176209511541804,"0.965783776420145"
