"sample","Biosynthesis","Degradation","Structure","metabolic_function","richness.y","neutral.y","phylo.y","mapped.y","total.y","metabolic_capacity","richness","neutral","phylo","mapped","total","sampleID","captureID","specimen","animal","sample_type","species","order","development","sampling_areaEHI","sampling_date","country","geographic_location","latitude","longitude","n_extractions","n_libraries","n_indexed_libraries","n_sequenced_datasets","host_data","metagenomic_data","n_MAGs","sex","bm","repro","sampling_site","area_type","macroarea","metapop","index200","index500","x","y","month","year","season","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C"
"EHI01497",0.342579976648827,0.175632383498388,0.322088160745561,0.259106180073608,1640,160.946,8.369,4.227,5.436,0.625575080395735,1640,160.946,8.369,4.227,5.436,"ABB64","SD0044103","SD00441","5941","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2021-03-30,"Italy","Lombardy, AddaNord",4557,953,1,1,1,1,"0.059","5.08",469,"M",530,"nonbreeding","C03-03","urban","AN2","AN","0.59","0.631",9529524,45573628,3,2021,"spring-summer","0.7216",34583652,404193,"0.0457813254458115",5079936726,58515074,"0.0548122436854299",188383179888509,"0.882650588829467"
"EHI01498",0.317307231589808,0.163870907611827,0.246867737194695,0.240589069600817,408,6.305,1.205,4.513,5.287,0.563467384933199,408,6.305,1.205,4.513,5.287,"AEL49","SD0169502","SD01695","5791","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-10-25,"Italy","Lombardy, Varese",4584,881,1,1,1,1,"0.127","4.967",116,"F",355,"nonbreeding","Villa Toeplitz","suburban","VAS","VA","0.504","0.424",881432,45844356,10,2021,"autumn","0.8859",34304424,859104,"0.0267534520404816",4967002806,127318305,"0.0364643278511155",149988960893537,"0.995785072912108"
"EHI01499",0.339906737364494,0.177598184908905,0.335412117670009,0.258752461136699,1613,224.739,6.635,2.837,4.248,0.629308961496735,1613,224.739,6.635,2.837,4.248,"ABA33","SD0035603","SD00356","5635","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2021-03-23,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.572","3.491",277,"M",530,"breeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,3,2021,"spring-summer","0.7225",27377420,3816910,"0.0332086344511879",3491143687,571582604,"0.0435405774230612",19081080041384,"0.838919585224984"
"EHI01500",0.251237901329286,0.123072612748324,0.257369687353364,0.187155257038805,1504,43.627,5.133,1.52,3.811,0.460100409862065,1504,43.627,5.133,1.52,3.811,"ACH57","SD0170801","SD01708","5733","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Pineta",2021-07-02,"Italy","Lombardy, Pineta",4574,891,1,1,1,1,"1.559","1.962",150,"F",410,"pregnant","Seminario","suburban","PINR","PIN","0.118","0.282",8907712,45735462,7,2021,"spring-summer","0.673",24196212,10688254,"0.0476151265228834",1961901376,1559312703,"0.0760121115613037",177122873169362,"0.862308295965321"
"EHI01501",0.283314103587397,0.129844848633158,0.29654814891738,0.206579476110278,929,9.692,2.157,5.191,8.732,0.512008335193015,929,9.692,2.157,5.191,8.732,"AAW09","SD0041601","SD00416","5767","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-02-11,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"2.266","6.116",67,"M",325,"breeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,2,2021,"winter","0.8777",56496212,15179336,"0.0294826854286484",6115609193,2265649808,"0.0401531134656734",157445576105257,"0.992858324644765"
"EHI01502",0.353722917171075,0.181456777509924,0.351575270927139,0.267589847340499,1631,184.606,6.394,3.303,4.371,0.652371451656712,1631,184.606,6.394,3.303,4.371,"AAV31","SD0036302","SD00363","5642","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-12-11,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.025","3.965",280,"F",500,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,12,2020,"winter","0.7619",26860592,165538,"0.078260480455229",3965215698,24941583,"0.087166891159855",189046279992814,"0.865829959381404"
"EHI01503",0.339207842055323,0.177374208151313,0.339982221696396,0.258291025103318,1643,189.606,6.632,5.347,7.148,0.629909457438768,1643,189.606,6.632,5.347,7.148,"AAU92","SD0035602","SD00356","5635","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-12-09,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.306","6.367",302,"M",530,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,12,2020,"winter","0.7619",45244794,2089881,"0.0505111880489568",6367242869,305856304,"0.0664070646738188",18741454934635,"0.926878616266621"
"EHI01504",0.359596307503326,0.163088417664855,0.341423492436199,0.261342362584091,1556,59.378,3.902,1.502,3.98,0.636492555980248,1556,59.378,3.902,1.502,3.98,"ADV92","SD0170902","SD01709","5745","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-18,"Italy","Lombardy, Pineta",4574,891,1,1,1,1,"2.059","1.724",150,"F",380,"nonbreeding","Seminario","suburban","PINR","PIN","0.118","0.282",8907712,45735462,10,2021,"autumn","0.6912",25867982,13856473,"0.0251280321184886",1724222917,2059050301,"0.0494795182025722",172516130979796,"0.925515939292241"
"EHI01505",0.333019570071892,0.171987323930012,0.333627277702233,0.252503447000952,1639,240.159,6.849,3.222,4.227,0.616215986569316,1639,240.159,6.849,3.222,4.227,"AAV04","SD0034602","SD00346","5610","Faecal","Sciurus carolinensis","Rodentia","Juvenile","RS",2020-12-10,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.072","3.894",287,"M",425,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,12,2020,"winter","0.7391",26697514,488276,"0.0525934139387628",3894340935,71847722,"0.0616871031005176",191381744610034,"0.858154703430738"
"EHI01506",0.372540534327139,0.195797260837824,0.333055299656772,0.284168897582481,1623,58.229,5.108,4.252,7.355,0.679356228383887,1623,58.229,5.108,4.252,7.355,"AEL96","SD0045603","SD00456","5976","Faecal","Sciurus vulgaris","Rodentia","Adult","Calusco",2021-11-17,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.002","7.036",338,"M",290,"breeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,11,2021,"autumn","0.6953",47370558,10447,"0.0338687327586759",7035690113,1974994,"0.0431034809644197",187834922979529,"0.919215707787765"
"EHI01507",0.333371127218494,0.174671753094825,0.359181061734271,0.254021440156659,1637,210.189,6.354,3.773,5.795,0.627769900891409,1637,210.189,6.354,3.773,5.795,"ABA36","SD0034603","SD00346","5610","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2021-03-23,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.966","4.518",285,"M",450,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,3,2021,"spring-summer","0.7108",37206466,6604196,"0.0369890846670787",4518333787,966484072,"0.0535803701736604",187784914174907,"0.881577640260585"
"EHI01508",0.331125005801718,0.176328804290197,0.325243957953364,0.253726905045958,1626,217.691,6.152,3.354,5.669,0.615868462743037,1626,217.691,6.152,3.354,5.669,"ABB21","SD0034003","SD00340","5601","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2021-03-23,"Italy","Piedmont, RS",4495,76,1,1,1,1,"1.284","4.044",278,"F",540,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,3,2021,"spring-summer","0.7099",36127598,8741419,"0.0440026188607617",4043798515,1284304049,"0.0600625967207929",18893996439026,"0.857218030192011"
"EHI01510",0.365516709618595,0.180165649193536,0.357900939357825,0.272841179406066,1653,256.677,6.764,5.195,7.028,0.664982671931407,1653,256.677,6.764,5.195,7.028,"AAU57","SD0043901","SD00439","5937","Faecal","Sciurus carolinensis","Rodentia","Nursing","AddaNord",2020-11-11,"Italy","Lombardy, AddaNord",4557,953,1,1,1,1,"0.071","6.634",480,"F",550,"lactating","C03-03","urban","AN2","AN","0.59","0.631",9529524,45573628,11,2020,"autumn","0.7152",45134082,485023,"0.036632940271863",6634217386,71054228,"0.0458595791006717",193611837429673,"0.871415524791451"
"EHI01511",0.361486795950217,0.181656027310643,0.357256582366711,0.27157141163043,1421,61.161,4.775,0.468,4.936,0.662228350716431,1421,61.161,4.775,0.468,4.936,"ACG52","SD0041602","SD00416","5767","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-04-28,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"0.32","4.13",67,"M",325,"breeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,4,2021,"spring-summer","0.0987",30261596,2152492,"0.0804009872313757",4130432723,320144562,"0.098362937734356",198064521084149,"0.674137161794585"
"EHI01512",0.359937055496164,0.198865790641566,0.344557849698102,0.279401423068865,1644,173.497,5.938,6.077,8.084,0.673655462703764,1644,173.497,5.938,6.077,8.084,"AAZ79","SD0044602","SD00446","5954","Faecal","Sciurus vulgaris","Rodentia","Juvenile","Calusco",2021-02-25,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.436","7.27",332,"F",210,"nonbreeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,2,2021,"winter","0.7531",52042974,2951751,"0.0343190163412683",7270340006,435914912,"0.0467129684608751",188622182343178,"0.922053154582508"
"EHI01513",0.348156306500062,0.184443614916867,0.358332496351828,0.266299960708464,1638,270.041,7.148,3.829,5.071,0.652044086867538,1638,270.041,7.148,3.829,5.071,"ABA80","SD0044004","SD00440","5939","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2021-03-31,"Italy","Lombardy, AddaNord",4556,953,1,1,1,1,"0.14","4.734",471,"M",510,"breeding","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,3,2021,"spring-summer","0.6861",32844942,942945,"0.0283963752213512",4733769631,140443599,"0.0387554462800704",191229850949506,"0.863225911902866"
"EHI01514",0.333786798262738,0.172632838638548,0.329038395227038,0.253209818450643,1621,159.47,5.467,4.647,5.914,0.616099101976966,1621,159.47,5.467,4.647,5.914,"AAU49","SD0043902","SD00439","5937","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2021-01-12,"Italy","Lombardy, AddaNord",4557,953,1,1,1,1,"0.051","5.566",466,"F",510,"nonbreeding","C03-03","urban","AN2","AN","0.59","0.631",9529524,45573628,1,2021,"winter","0.7488",37750280,343846,"0.0424661465465903",5566217953,51428097,"0.0500580358443565",185137833880393,"0.910689194740065"
"EHI01515",0.371288811075904,0.19798323722025,0.36305897200359,0.284636024148077,1644,86.045,6.299,3.741,5.397,0.690291705630684,1644,86.045,6.299,3.741,5.397,"ACH54","SD0170301","SD01703","5777","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-05-31,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"0.679","4.466",329,"M",NA,"breeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,5,2021,"spring-summer","0.7326",34881540,4620339,"0.0304772476286376",4466059796,678665521,"0.0466918892662671",18372901985617,"0.906307803178331"
"EHI01516",0.338383071405114,0.195077938027131,0.350707552350877,0.266730504716123,1550,59.797,4.816,2.001,3.996,0.650363526882537,1550,59.797,4.816,2.001,3.996,"AEL11","SD0031103","SD00311","4910","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-20,"Italy","Lombardy, Pineta",4576,89,1,1,1,1,"1.357","2.452",165,"M",345,"nonbreeding","PIN-CAPR","suburban","PINS","PIN","0.464","0.416",8904471,45757363,10,2021,"autumn","0.6857",25945184,9238454,"0.0261202128114",2452080014,1356854283,"0.0468509499161207",177671118327338,"0.877793591423322"
"EHI01517",0.387391357966069,0.18830702689206,0.35855618284441,0.287849192429064,1655,101.152,7.167,4.873,7.109,0.695217112472932,1655,101.152,7.167,4.873,7.109,"ABA17","SD0040101","SD00401","5718","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-03-04,"Italy","Lombardy, Pineta",4576,89,1,1,1,1,"0.731","5.983",191,"M",320,"breeding","PIN-CAPR","suburban","PINS","PIN","0.464","0.416",8904471,45757363,3,2021,"spring-summer","0.7297",45432642,4987218,"0.0413355126788508",5982903807,731475950,"0.0554753668923902",185912369891201,"0.919040643562267"
"EHI01518",0.386671308768456,0.176946488852797,0.302854824841269,0.281808898810627,485,5.963,1.431,1.438,5.705,0.664569405901677,485,5.963,1.431,1.438,5.705,"AAV99","SD0040201","SD00402","5719","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-01-15,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"3.479","1.998",295,"F",320,"nonbreeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,1,2021,"winter","0.7089",37042242,23378696,"0.0260334647687879",1998437469,3478963343,"0.0398700145388486",142180017306918,"0.98492458375769"
"EHI01519",0.357273016604385,0.187514550266201,0.355175070923836,0.272393783435293,1634,82.495,4.482,3.514,4.867,0.663179257178531,1634,82.495,4.482,3.514,4.867,"ABC05","SD0046602","SD00466","5992","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Calusco",2021-04-13,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.323","4.254",313,"F",290,"pregnant","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,4,2021,"spring-summer","0.7871",31010828,2285785,"0.0443219384787811",4254087826,322613761,"0.0597148194333399",182631011889004,"0.911233271255605"
"EHI01520",0.328356087324943,0.165536279008643,0.34417446346448,0.246946183166793,1643,147.935,5.823,2.61,3.38,0.608617187488412,1643,147.935,5.823,2.61,3.38,"AEL88","SD0045303","SD00453","5971","Faecal","Sciurus vulgaris","Rodentia","Adult","Calusco",2021-11-17,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.025","3.203",320,"F",320,"nonbreeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,11,2021,"autumn","0.7309",21863612,174912,"0.0296200165283534",3203396216,24675246,"0.0448495177159035",190195976343335,"0.842088035064284"
"EHI01521",0.364679697833741,0.187871729553163,0.317941426634445,0.276275713693452,1590,107.672,6.262,1.287,3.288,0.65853190293172,1590,107.672,6.262,1.287,3.288,"AAZ47","SD0046601","SD00466","5992","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Calusco",2021-02-23,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"1.578","1.55",298,"F",305,"pregnant","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,2,2021,"winter","0.7206",21323862,10799238,"0.0271129018968136",1549516473,1578421690,"0.0485992695421741",184892383456026,"0.812095644181028"
"EHI01522",0.27253939310499,0.12229250479141,0.285971231796575,0.1974159489482,1289,5.208,2.252,2.754,7.45,0.490155641828592,1289,5.208,2.252,2.754,7.45,"AEL13","SD0043003","SD00430","5799","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-20,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"3.167","3.953",67,"M",295,"nonbreeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,10,2021,"autumn","0.9149",48056350,21305012,"0.03246509371849",3952797002,3167358732,"0.0443164866792913",155528494967224,"0.954414418440309"
"EHI01523",0.355331482957773,0.163370783924038,0.354292524712272,0.259351133440905,1654,257.405,8.363,4.166,6.038,0.636799775119235,1654,257.405,8.363,4.166,6.038,"ABA43","SD0034203","SD00342","5605","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.776","5.038",568,"M",530,"breeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.7063",39176480,5221777,"0.0267734870867968",5038484038,776017555,"0.0370366591241046",19146288701022,"0.866913989857001"
"EHI01524",0.384372141338243,0.154819147909865,0.383688409073099,0.269595644624054,434,5.994,2.341,3.083,5.984,0.667087425605808,434,5.994,2.341,3.083,5.984,"ADW11","SD0041603","SD00416","5767","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-20,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"1.362","4.414",67,"M",350,"nonbreeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,10,2021,"autumn","0.8288",38879018,9101495,"0.0253750320245587",4414124210,1362065227,"0.0346775313690267",15650110700091,"0.969222381221733"
"EHI01525",0.295282712701685,0.152099251932454,0.368119669541385,0.22369098231707,852,8.14,3.205,3.749,4.949,0.570088521147934,852,8.14,3.205,3.749,4.949,"ADV95","SD0040102","SD00401","5718","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-10-18,"Italy","Lombardy, Pineta",4576,89,1,1,1,1,"0.248","4.501",150,"M",335,"nonbreeding","PIN-CAPR","suburban","PINS","PIN","0.464","0.416",8904471,45757363,10,2021,"autumn","0.8108",32050036,1649498,"0.0286595128404098",4500840295,247831469,"0.0405466534463486",156990788362726,"0.99260219563776"
"EHI01526",0.34335947537545,0.184382542915625,0.335978745555879,0.263871009145537,1598,171.541,5.54,3.865,4.97,0.639734933476367,1598,171.541,5.54,3.865,4.97,"AAA66","SD0036301","SD00363","5642","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-10-12,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.174","4.599",289,"F",495,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,10,2020,"autumn","0.766",32147464,1170735,"0.0297114620187336",4598882145,173574448,"0.0397044631159655",186855982321568,"0.899948938063171"
"EHI01527",0.382159737921669,0.178320272032143,0.309627559369907,0.280240004976906,1609,113.188,4.951,2.78,3.518,0.663689196410449,1609,113.188,4.951,2.78,3.518,"ABB06","SD0034403","SD00344","5608","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.068","3.245",539,"F",610,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.6692",22779960,464206,"0.0286703087187952",3245114745,67622433,"0.058306809902941",179398310609653,"0.876655301676875"
"EHI01528",0.332395977178095,0.166350676752768,0.34634460979458,0.249373326965432,1523,17.898,3.559,2.729,7.654,0.614194857195724,1523,17.898,3.559,2.729,7.654,"AEM07","SD0170803","SD01708","5733","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-12-10,"Italy","Lombardy, Pineta",4574,891,1,1,1,1,"4.113","3.199",162,"F",370,"nonbreeding","Seminario","suburban","PINR","PIN","0.118","0.282",8907712,45735462,12,2021,"winter","0.6934",49492870,27465066,"0.0300549510893052",3198798717,4112727931,"0.0447406434898322",163987349907127,"0.936816798809353"
"EHI01529",0.337461961849784,0.162606064922507,0.364086554788392,0.250034013386146,1640,209.948,6.979,3.122,4.551,0.621430211701755,1640,209.948,6.979,3.122,4.551,"ABA78","SD0043904","SD00439","5937","Faecal","Sciurus carolinensis","Rodentia","Pregnant","AddaNord",2021-03-29,"Italy","Lombardy, AddaNord",4557,953,1,1,1,1,"0.63","3.72",460,"F",580,"pregnant","C03-03","urban","AN2","AN","0.59","0.631",9529524,45573628,3,2021,"spring-summer","0.7322",29301550,4169845,"0.0342196442780739",3720487508,629509565,"0.0441593884848464",189826075769001,"0.862836631490706"
"EHI01530",0.326601254095961,0.166735742696916,0.28325168185197,0.246668498396438,1569,67.233,6.617,2.017,5.974,0.587754224076867,1569,67.233,6.617,2.017,5.974,"ADV31","SD0170302","SD01703","5777","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-09-06,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"2.897","2.86",311,"M",360,"nonbreeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,9,2021,"autumn","0.7164",38590460,19106096,"0.0309817968371462",2860012170,2897393046,"0.0361986775507449",185385916245812,"0.83778573203036"
"EHI01549",0.361134948158459,0.166313335824131,0.35255546520567,0.263724141991295,1641,219.332,5.992,4.748,6.341,0.64496677238448,1641,219.332,5.992,4.748,6.341,"AAB39","SD0044001","SD00440","5939","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2020-11-11,"Italy","Lombardy, AddaNord",4556,953,1,1,1,1,"0.454","5.616",462,"M",580,"breeding","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,11,2020,"autumn","0.7739",40801042,3021353,"0.0348101953044809",5616181142,453750722,"0.0427309266057032",187524641259123,"0.915925818857137"
"EHI01550",0.363953115046225,0.184959005376747,0.35876478109396,0.274456060211486,1641,209.93,7.126,1.686,6.448,0.668500380787626,1641,209.93,7.126,1.686,6.448,"ACG85","SD0042003","SD00420","5771","Faecal","Sciurus carolinensis","Rodentia","Adult","commande",2021-05-05,"Italy","Piedmont, commande",4484,777,1,1,1,1,"1.481","4.678",242,"F",530,"nonbreeding","commande","suburban","COM","COM","0.2","0.2",7766891,44838837,5,2021,"spring-summer","0.3549",41579710,9912005,"0.0327339716061938",4678483400,1480843374,"0.0447732726263821",186946423160878,"0.839653724833769"
"EHI01551",0.334107856575594,0.169856331350498,0.340895903949662,0.251982093963046,1577,198.711,5.094,3.104,4.008,0.617596155909312,1577,198.711,5.094,3.104,4.008,"AAA54","SD0034601","SD00346","5610","Faecal","Sciurus carolinensis","Rodentia","Juvenile","RS",2020-10-12,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.12","3.655",268,"M",335,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,10,2020,"autumn","0.7317",25771154,879508,"0.0355228317488223",3655412429,120351562,"0.0579549620932911",187248810017879,"0.889566322617312"
"EHI01552",0.361904140431732,0.17044851946068,0.287361054275675,0.266176329946206,1563,110.176,5.501,3.323,5.096,0.628139677984304,1563,110.176,5.501,3.323,5.096,"ACG51","SD0171101","SD01711","5748","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-07-14,"Italy","Lombardy, Varese",458,885,1,1,1,1,"0.691","4.074",139,"M",300,"nonbreeding","ASL","urban","VAS","VA","0.59","0.651",8848748,45799523,7,2021,"spring-summer","0.7009",32134216,4624145,"0.0542113331056832",4074082206,690911399,"0.0650304648409875",184519483853846,"0.916884332300763"
"EHI01553",0.387103788690913,0.180509861067167,0.319242107476664,0.28380682487904,1548,42.677,5.412,3.662,4.56,0.674027685583635,1548,42.677,5.412,3.662,4.56,"ACH53","SD0170901","SD01709","5745","Faecal","Sciurus vulgaris","Rodentia","Pregnant","Pineta",2021-07-02,"Italy","Lombardy, Pineta",4574,891,1,1,1,1,"0.101","4.251",172,"F",385,"lactating","Seminario","suburban","PINR","PIN","0.118","0.282",8907712,45735462,7,2021,"spring-summer","0.7051",29574628,692657,"0.0270765293628213",4250751983,101359948,"0.0455170234634918",177104629738873,"0.935418692834944"
"EHI01554",0.33911621675007,0.180868918763903,0.351426531017538,0.259992567756986,1603,79.614,5.057,2.13,3.633,0.637127312519819,1603,79.614,5.057,2.13,3.633,"AAV49","SD0045301","SD00453","5971","Faecal","Sciurus vulgaris","Rodentia","Adult","Calusco",2021-02-22,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.87","2.512",301,"F",270,"nonbreeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,2,2021,"winter","0.7388",23035728,5904427,"0.048856942612893",2512154268,870101896,"0.0689797261328581",1818333557117,"0.880800600918858"
"EHI01556",0.350001872209814,0.177027791645653,0.344184308525002,0.263514831927734,1655,257.043,7.335,6.209,8.062,0.641757766697135,1655,257.043,7.335,6.209,8.062,"AAV32","SD0039102","SD00391","5675","Faecal","Sciurus carolinensis","Rodentia","Adult","commande",2020-12-21,"Italy","Piedmont, commande",4484,777,1,1,1,1,"0.047","7.5",280,"F",565,"nonbreeding","commande","suburban","COM","COM","0.2","0.2",7766891,44838837,12,2020,"winter","0.728",51025578,324741,"0.0506254191201745",7499677064,47402450,"0.063867478323588",190709338599863,"0.917031787549775"
"EHI01557",0.338552788645095,0.176599922926293,0.327001555143485,0.257576355785694,1604,171.773,4.677,3.836,5.014,0.624153229952549,1604,171.773,4.677,3.836,5.014,"AAA80","SD0034001","SD00340","5601","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-10-13,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.075","4.654",277,"F",525,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,10,2020,"autumn","0.7578",32013626,529813,"0.0422914600741502",4654266459,75416642,"0.056722930631543",187114712307478,"0.892440226346709"
"EHI01558",0.361552919457858,0.185946515635012,0.3076684125922,0.273749717546435,1572,112.241,5.005,3.6,7.139,0.650055572623604,1572,112.241,5.005,3.6,7.139,"ACG53","SD0043002","SD00430","5799","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-04-28,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"2.288","4.581",86,"M",280,"breeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,4,2021,"spring-summer","0.7084",46069262,15363484,"0.0320184514064218",4581399008,2288170052,"0.0377363983141541",179972703142064,"0.967682028228191"
"EHI01559",0.332658889211003,0.133798743499602,0.265642016162462,0.233228816355302,1567,96.971,5.673,1.879,3.566,0.555004971431426,1567,96.971,5.673,1.879,3.566,"ABC03","SD0045602","SD00456","5976","Faecal","Sciurus vulgaris","Rodentia","Adult","Calusco",2021-04-14,"Italy","Lombardy, Calusco",4568,946,1,1,1,1,"0.446","2.883",283,"M",260,"breeding","C03-18","rural","CAL","CAL","0.047","0.227",9460459,45680513,4,2021,"spring-summer","0.7299",22463660,3022221,"0.0551264498354312",2883026351,446273691,"0.0664128789201202",179755068160972,"0.940669774536355"
"EHI01728",0.360899309230644,0.180871732376164,0.367804081899871,0.270885520803404,1616,124.696,6.043,2.261,3.078,0.664372402240098,1616,124.696,6.043,2.261,3.078,"ABB91","SD0039201","SD00392","5696","Faecal","Sciurus vulgaris","Rodentia","Nursing","Gallarate",2021-04-13,"Italy","Lombardy, Gallarate",4566,878,1,1,1,1,"0.17","2.781",20,"F",365,"lactating","Bassetti","urban","GAL","GAL","0.806","0.844",8781401,45661555,4,2021,"spring-summer","0.6894",19868002,1127118,"0.0316746840563605",2780894049,169658482,"0.0413078235751871",182282190184216,"0.881725640457412"
"EHI01770",0.406918000046819,0.212927744041136,0.379255985375905,0.309922872043977,1554,47.565,3.453,1.018,1.44,0.746264405879923,1554,47.565,3.453,1.018,1.44,"ABC40","SD0031401","SD00314","4917","Faecal","Sciurus vulgaris","Rodentia","Nursing","Gallarate",2021-04-14,"Italy","Lombardy, Gallarate",4566,878,1,1,1,1,"0.051","1.304",0,"F",355,"lactating","Ponti","urban","GAL","GAL","0.8","0.779",8787173,45672497,4,2021,"spring-summer","0.7591",9172688,385007,"0.0448248845066223",1303585564,51362337,"0.0593724051043818",175836597761718,"0.867868201886603"
"EHI01771",0.363222623684409,0.177777729813371,0.344419271059953,0.27050017674889,1451,97.789,5.495,0.499,4.393,0.655806777184432,1451,97.789,5.495,0.499,4.393,"ABB94","SD0033101","SD00331","4949","Faecal","Sciurus vulgaris","Rodentia","Nursing","Gallarate",2021-04-13,"Italy","Lombardy, Gallarate",4566,878,1,1,1,1,"0.08","3.988",0,"F",340,"lactating","Ponti","urban","GAL","GAL","0.8","0.779",8787173,45672497,4,2021,"spring-summer","0.1187",27493266,551425,"0.061333237372403",3988361968,79711632,"0.0740604199242113",18589094948987,"0.783214838202395"
